policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,71,230,11.78,0.0,optimal,83,0,12.421118644997478,12.429023557
internal:relpscost,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,79,235,11.9,0.0,optimal,85,0,12.50905226636678,12.516547236999997
internal:relpscost,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,61,209,11.0,0.0,optimal,74,0,11.53336760867387,11.540249975999998
internal:relpscost,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,61,225,11.92,0.0,optimal,88,0,12.566223630681634,12.573757911000001
internal:relpscost,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,67,223,11.71,0.0,optimal,84,0,12.3150834441185,12.322902077999998
ml-competitor:extratrees_gcnn_agg,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,213,428,11.42,0.0,optimal,0,0,12.326342009939253,12.277959743000011
ml-competitor:extratrees_gcnn_agg,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,209,401,11.75,0.0,optimal,0,0,12.485798874869943,12.492240531000007
ml-competitor:extratrees_gcnn_agg,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,209,389,11.21,0.0,optimal,0,0,12.005162343382835,12.010913213999999
ml-competitor:extratrees_gcnn_agg,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,225,433,11.78,0.0,optimal,0,0,12.615924867801368,12.622299714999983
ml-competitor:extratrees_gcnn_agg,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,221,396,11.45,0.0,optimal,0,0,12.343943316489458,12.350383532999984
ml-competitor:lambdamart_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,185,407,8.39,0.0,optimal,0,0,8.82563731726259,8.830179649000002
ml-competitor:lambdamart_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,171,341,8.72,0.0,optimal,0,0,9.157020241953433,9.161874008000012
ml-competitor:lambdamart_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,181,356,8.16,0.0,optimal,0,0,8.596306268125772,8.600473230999995
ml-competitor:lambdamart_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,203,432,8.87,0.0,optimal,0,0,9.398617854341865,9.403475751999991
ml-competitor:lambdamart_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,195,418,8.52,0.0,optimal,0,0,9.101934952661395,9.106504033999983
ml-competitor:svmrank_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,179,363,9.46,0.0,optimal,0,0,9.900895263068378,9.905750479000005
ml-competitor:svmrank_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,187,359,10.06,0.0,optimal,0,0,10.524910575710237,10.530165791000002
ml-competitor:svmrank_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,195,419,9.4,0.0,optimal,0,0,9.889002988114953,9.894040470999983
ml-competitor:svmrank_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,167,344,9.29,0.0,optimal,0,0,9.754115800373256,9.758766678
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,173,359,9.28,0.0,optimal,0,0,9.69770960137248,9.702369768000011
gcnn:baseline,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,167,399,8.49,0.0,optimal,0,0,8.915997289121151,9.014136566000019
gcnn:baseline,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,159,336,8.65,0.0,optimal,0,0,9.013544169254601,9.10660487299998
gcnn:baseline,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,175,396,8.08,0.0,optimal,0,0,8.535926878452301,8.634444762999976
gcnn:baseline,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,179,404,8.62,0.0,optimal,0,0,9.065559246577322,9.173529759000019
gcnn:baseline,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,151,381,8.3,0.0,optimal,0,0,8.748538776300848,8.841051838999988
gcnn:mean_convolution,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,169,377,8.29,0.0,optimal,0,0,8.693188855424523,8.797818328999995
gcnn:mean_convolution,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,159,336,8.64,0.0,optimal,0,0,9.038261500187218,9.13877990900005
gcnn:mean_convolution,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,167,349,8.23,0.0,optimal,0,0,8.568202312104404,8.674998149000032
gcnn:mean_convolution,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,161,368,8.47,0.0,optimal,0,0,8.919471791014075,9.015615615000002
gcnn:mean_convolution,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,149,302,8.05,0.0,optimal,0,0,8.4821955896914,8.577011061999997
gcnn:no_prenorm,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,171,388,8.32,0.0,optimal,0,0,8.716204609721899,8.817870434999975
gcnn:no_prenorm,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,171,364,8.71,0.0,optimal,0,0,9.158339787274599,9.260586602000046
gcnn:no_prenorm,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,173,384,8.27,0.0,optimal,0,0,8.703982898034155,8.80898230400004
gcnn:no_prenorm,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,157,352,8.45,0.0,optimal,0,0,8.843497755937278,8.938036016000012
gcnn:no_prenorm,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_1/instance_1.lp,165,327,8.19,0.0,optimal,0,0,8.627224013209343,8.728054063000002
internal:relpscost,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,139,345,15.01,0.0,optimal,113,2,15.89380600489676,15.903866685000025
internal:relpscost,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,170,388,16.52,0.0,optimal,117,1,17.453296585008502,17.461127540999996
internal:relpscost,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,159,359,15.56,0.0,optimal,110,1,16.665947671048343,16.674252274000025
internal:relpscost,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,157,379,17.04,0.0,optimal,134,0,18.231126147322357,18.240200242000014
internal:relpscost,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,87,305,15.29,0.0,optimal,108,0,16.157748139463365,16.165725659999964
ml-competitor:extratrees_gcnn_agg,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,217,495,12.57,0.0,optimal,0,0,13.455597132444382,13.458772354999951
ml-competitor:extratrees_gcnn_agg,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,220,446,12.79,0.0,optimal,0,0,13.82441055867821,13.833689450000008
ml-competitor:extratrees_gcnn_agg,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,225,500,13.09,0.0,optimal,0,0,14.054429023526609,14.06356686700002
ml-competitor:extratrees_gcnn_agg,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,231,497,13.08,0.0,optimal,0,0,14.018519750796258,14.027826120999976
ml-competitor:extratrees_gcnn_agg,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,221,489,12.24,0.0,optimal,0,0,12.887385997921228,12.896107176999976
ml-competitor:lambdamart_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,198,423,9.71,0.0,optimal,0,0,10.364570885896683,10.37125739999999
ml-competitor:lambdamart_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,215,454,9.89,0.0,optimal,0,0,10.579512435942888,10.586593676999996
ml-competitor:lambdamart_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,187,425,9.81,0.0,optimal,0,0,10.45487015787512,10.461942202000046
ml-competitor:lambdamart_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,202,473,10.35,0.0,optimal,0,0,11.106672190129757,11.114242283000067
ml-competitor:lambdamart_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,187,427,9.37,0.0,optimal,0,0,9.907134318724275,9.914054029999988
ml-competitor:svmrank_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,187,462,11.0,0.0,optimal,0,0,11.691310402937233,11.699332303000006
ml-competitor:svmrank_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,192,423,11.09,0.0,optimal,0,0,11.756863025017083,11.764873154000043
ml-competitor:svmrank_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,190,443,11.38,0.0,optimal,0,0,11.980179320089519,11.988275145999978
ml-competitor:svmrank_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,215,488,12.0,0.0,optimal,0,0,12.771433238871396,12.780149112999993
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,198,439,10.88,0.0,optimal,0,0,11.366609249264002,11.374681803000044
gcnn:baseline,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,177,413,9.1,0.0,optimal,0,0,9.578685937449336,9.715707548999944
