policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,386,1.97466,0.0,0.11543916072471408,0,0,0,optimal,0,0,1.974699112586677,2.0588894189999998
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,46,264,1.6827,0.0,0,0,0,0,optimal,0,0,1.6827162485569715,1.7361241809999992
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,320,1.698531,0.0,0.1154391607247143,0,0,0,optimal,0,0,1.6985557423904538,1.7827499210000006
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,105,454,2.00014,0.09007980502658973,0.12119280395995705,0.09429353333895192,0.09386576054652405,0,timelimit,0,0,2.000153456814587,2.1196184470000006
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,47,267,1.628904,0.0,0,0,0,0,optimal,0,0,1.6289191078394651,1.6788741500000022
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.772399,0.0,0,0,0,0,optimal,0,0,0.7724152384325862,0.7810371069999995
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,92,337,1.4555,0.0,0.10016064688260096,0.09429670065845154,0,0,optimal,0,0,1.455519836395979,1.5500227980000005
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.742489,0.0,0,0,0,0,optimal,0,0,0.7425163388252258,0.7519779259999986
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,64,228,1.256467,0.0,0.101877021968279,0,0,0,optimal,0,0,1.2564848568290472,1.3136168129999994
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,41,161,1.119544,0.0,0,0,0,0,optimal,0,0,1.1195607651025057,1.1656793930000013
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,149,325,1.731398,0.0,0.12197805577617336,0.12091525569345443,0.12091525569345443,0,optimal,0,0,1.7314169881865382,1.8709527969999975
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,70,105,1.227289,0.0,0.09904064818882075,0,0,0,optimal,0,0,1.2273113708943129,1.2833358990000008
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,115,414,2.001627,0.10601698291161393,0.1303979275024918,0.11768889512577063,0.11267110044353414,0,timelimit,0,0,2.0016511529684067,2.153629267000003
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,74,146,1.460414,0.0,0.0685505293106411,0,0,0,optimal,0,0,1.460431476123631,1.5177914659999985
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,115,421,2.000065,0.11984079116327012,0.13087737113593578,0.12746385794341208,0.11984079116327012,0,timelimit,0,0,2.0000822860747576,2.137653086999997
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,49,314,1.407905,0.0,0,0,0,0,optimal,0,0,1.4079229542985559,1.4666813609999991
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,62,256,1.485509,0.0,0.1266805839993306,0,0,0,optimal,0,0,1.485533157363534,1.5550823230000006
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,65,300,1.485211,0.0,0.11379541160378033,0,0,0,optimal,0,0,1.4852319555357099,1.5591334530000012
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,51,328,1.6074030000000001,0.0,0,0,0,0,optimal,0,0,1.6074221730232239,1.6732431639999987
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,65,321,1.5054219999999998,0.0,0.11716257131552925,0,0,0,optimal,0,0,1.5054417252540588,1.5759712010000015
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,37,217,2.000093,0.15188551291559851,0,0,0,0,timelimit,0,0,2.0001228787004948,2.050803094999999
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,70,384,2.003393,0.13863254620850224,0.14570077220763555,0,0,0,timelimit,0,0,2.0034087831154466,2.0961494270000003
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,32,230,2.000127,0.2094797885613782,0,0,0,0,timelimit,0,0,2.000150811858475,2.042244545999999
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,41,232,2.000091,0.14128538942715052,0,0,0,0,timelimit,0,0,2.0001104790717363,2.0563555999999963
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,39,330,2.002183,0.15188551291559851,0,0,0,0,timelimit,0,0,2.002201436087489,2.054805341000005
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,19,51,0.885867,0.0,0,0,0,0,optimal,0,0,0.8858856745064259,0.8988222399999941
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,53,0.905486,0.0,0,0,0,0,optimal,0,0,0.9055047435685992,0.9197683920000017
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,53,0.883554,0.0,0,0,0,0,optimal,0,0,0.8835774436593056,0.8974957249999989
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,19,59,0.937728,0.0,0,0,0,0,optimal,0,0,0.9377469252794981,0.9505872670000031
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,53,1.006487,0.0,0,0,0,0,optimal,0,0,1.0065041184425354,1.0208600539999964
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,143,415,2.003314,0.11397664714751614,0.18018079153561403,0.17879507844410844,0.11705342360416142,0,timelimit,0,0,2.0033319741487503,2.154435056000004
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,180,379,2.000063,0.12084780695231369,0.13353116433425716,0.13353116433425716,0.12117175195883331,0,timelimit,0,0,2.0000812811776996,2.152781060999999
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,172,383,2.000058,0.10974964814806287,0.19319069929921806,0.18637677935433244,0.18587371798665406,0,timelimit,0,0,2.0000876830890775,2.1606346619999997
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,101,395,2.000058,0.17584570905701177,0.18018079153561403,0.18018079153561403,0,0,timelimit,0,0,2.000079883262515,2.1090134009999986
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,145,470,1.994723,0.0988570566794086,0.18018079153561403,0.11705342360416118,0.11397664714751614,0,timelimit,0,0,1.9947432959452271,2.1359663499999897
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,125,446,2.00252,0.09467989625136812,0.10318126509283725,0.10304546772657794,0.09906256876622276,0,timelimit,0,0,2.0025386940687895,2.14399357100001
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,157,553,2.00032,0.08514535072084321,0.11297032688207805,0.1077362736352353,0.09454882785578313,0,timelimit,0,0,2.0003455178812146,2.1613589970000078
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,147,437,2.002682,0.08991426931617832,0.1153431757870204,0.10399234032061476,0.09513448818398347,0,timelimit,0,0,2.0027010766789317,2.152975828999999
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,147,430,2.003551,0.09783842327108715,0.10314858340784457,0.10304546772657752,0.10304546772657752,0,timelimit,0,0,2.0035702865570784,2.153036017000005
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,178,548,2.000008,0.0900141695875905,0.11297032688207742,0.10239004920960365,0.09965956390688442,0,timelimit,0,0,2.000030403956771,2.1718143420000047
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,53,143,1.173822,0.0,0.070164204793327,0,0,0,optimal,0,0,1.1738726971670985,1.2096346699999998
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,51,147,1.158931,0.0,0,0,0,0,optimal,0,0,1.1589513951912522,1.1932335829999943
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,51,146,1.272002,0.0,0,0,0,0,optimal,0,0,1.2720244750380516,1.306555437
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,49,164,1.153656,0.0,0,0,0,0,optimal,0,0,1.1536785969510674,1.1862766039999997
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,53,145,1.187361,0.0,0.06079532664243597,0,0,0,optimal,0,0,1.1873829923570156,1.2235539870000025
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,201,399,2.00362,0.08235109592779807,0.13866031435252021,0.10832747991677885,0.09842352374965187,0.08235109592779807,timelimit,0,0,2.003643142990768,2.1770731040000015
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,183,460,2.001901,0.08795915176037485,0.11232033794546929,0.10093180650587488,0.09842352374965166,0,timelimit,0,0,2.0019268253818154,2.171860224999989
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,181,343,2.000322,0.08899789627909258,0.14043781414056508,0.13866031435252021,0.10093180650587488,0,timelimit,0,0,2.000343482941389,2.162740893000006
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,175,429,2.003257,0.0975389948006931,0.13866031435252021,0.13866031435252021,0.10441076249868057,0,timelimit,0,0,2.0032846704125404,2.1647874960000024
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,170,452,2.001926,0.08988869527709752,0.10757048581342557,0.10093180650587488,0.09842352374965187,0,timelimit,0,0,2.0019475370645523,2.164735284999992
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,71,236,1.6102729999999998,0.0,0.11908952118614184,0,0,0,optimal,0,0,1.610295326448977,1.6816638690000048
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,117,355,2.000129,0.09886849863992245,0.11908952118614206,0.11600506907953959,0.09959129404137865,0,timelimit,0,0,2.000151891261339,2.1179706550000077
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,144,455,2.000022,0.09377769475634394,0.12351443781246856,0.10770861853783945,0.10768768610865848,0,timelimit,0,0,2.0000476464629173,2.1287726440000085
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,124,376,1.926046,0.0,0.11368906666551795,0.1082561427685094,0.09567078460301293,0,optimal,0,0,1.9260691022500396,2.048477384999998
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,192,374,2.001982,0.09541393591251428,0.1136890666655184,0.11081628426391422,0.10749700656618866,0,timelimit,0,0,2.0020026229321957,2.155892141999999
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,235,501,1.882311,0.0,0.10376059025469003,0.10360621560439986,0.10360621560439986,0.0717656404908641,optimal,0,0,1.882343023084104,2.0418703090000037
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,249,486,1.993042,0.0,0.10376059025468981,0.10360621560439921,0.08913087736388539,0.0717656404908641,optimal,0,0,1.993064397946,2.1609339540000008
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,235,475,1.843496,0.0,0.11981059145934307,0.11981059145934307,0.10730333254598506,0.0717656404908641,optimal,0,0,1.8435188718140125,2.0033320189999984
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,202,433,2.001896,0.07911045787819385,0.09927066524977643,0.0966148399691174,0.09074322034633983,0.07911045787819385,timelimit,0,0,2.0019191447645426,2.1597463850000054
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,243,524,1.891749,0.0,0.10730333254598463,0.10360621560439921,0.08955490692962273,0.07145860108870074,optimal,0,0,1.8917705388739705,2.056407931999999
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,101,419,2.000048,0.11011017713812851,0.12482828693355,0.11917307191735184,0.11011017713812851,0,timelimit,0,0,2.0000695064663887,2.1159383210000016
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,126,431,2.000023,0.11675158222670058,0.12242535100698096,0.12242535100698096,0.11675158222670058,0,timelimit,0,0,2.000063940882683,2.1449762250000077
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,152,414,2.002133,0.11471673383759051,0.12346282898558494,0.12242535100698096,0.11922904575412864,0,timelimit,0,0,2.0021648462861776,2.159319160999999
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,141,405,2.000051,0.11108576752698918,0.1302625274582893,0.12324467067633586,0.11852765497842684,0,timelimit,0,0,2.0000737104564905,2.156540168999996
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,99,391,2.001807,0.11011017713812829,0.12482828693355022,0.11675158222670036,0,0,timelimit,0,0,2.001828882843256,2.1144572150000016
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_14/instance_14.lp,251,497,1.823556,0.0,0.11968290210980129,0.10057987979780576,0.09215563013386836,0.07523490891890144,optimal,0,0,1.8235790506005287,1.9934509500000104
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_14/instance_14.lp,269,524,1.932432,0.0,0.11968290210980129,0.11326489844966246,0.09215563013386836,0.07523490891890144,optimal,0,0,1.9324559485539794,2.1120687560000135
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_14/instance_14.lp,261,444,1.8648500000000001,0.0,0.11633227645289332,0.11438323762200135,0.11438323762200135,0.09119183984756844,optimal,0,0,1.8648713752627373,2.0433534459999976
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_14/instance_14.lp,251,527,1.874546,0.0,0.10795186770784333,0.09215563013386836,0.08957640842069373,0.073773964975753,optimal,0,0,1.8745706090703607,2.036724665999998
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_14/instance_14.lp,263,453,1.990251,0.0,0.10572497171993733,0.09218081925971039,0.08957640842069373,0.0737739649757528,optimal,0,0,1.9902757033705711,2.1511580849999916
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_15/instance_15.lp,43,161,0.917767,0.0,0,0,0,0,optimal,0,0,0.9177904864773154,0.9434012609999911
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_15/instance_15.lp,45,166,0.952704,0.0,0,0,0,0,optimal,0,0,0.9527264414355159,0.9787865339999939
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_15/instance_15.lp,45,176,1.059556,0.0,0,0,0,0,optimal,0,0,1.0595806604251266,1.0863410860000045
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_15/instance_15.lp,47,132,1.050488,0.0,0,0,0,0,optimal,0,0,1.0505126435309649,1.0790982519999943
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_15/instance_15.lp,45,173,1.277584,0.0,0,0,0,0,optimal,0,0,1.2776114353910089,1.304100745999989
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_16/instance_16.lp,55,376,2.000433,0.12814698467980049,0.12930578245275665,0,0,0,timelimit,0,0,2.000457019545138,2.064839849000009
