policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,386,1.9611399999999999,0.0,0.11543916072471408,0,0,0,optimal,0,0,1.9611705522984266,2.043598501
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,46,264,1.669216,0.0,0,0,0,0,optimal,0,0,1.669236360117793,1.7218441720000008
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,320,1.688841,0.0,0.1154391607247143,0,0,0,optimal,0,0,1.6888591311872005,1.7708879549999992
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,180,579,2.317202,0.0,0.12119280395995705,0.09429353333895192,0.09386576054652405,0,optimal,0,0,2.3172182478010654,2.4897522430000016
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,47,267,1.608399,0.0,0,0,0,0,optimal,0,0,1.6084145605564117,1.6569006349999995
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.767519,0.0,0,0,0,0,optimal,0,0,0.7675354918465018,0.7765566609999972
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,92,337,1.4361549999999998,0.0,0.10016064688260096,0.09429670065845154,0,0,optimal,0,0,1.4361710296943784,1.530688669
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.736599,0.0,0,0,0,0,optimal,0,0,0.7366184964776039,0.7453349230000015
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,64,228,1.255232,0.0,0.101877021968279,0,0,0,optimal,0,0,1.255250376649201,1.311690256000002
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,41,161,1.105099,0.0,0,0,0,0,optimal,0,0,1.1051142700016499,1.1499154689999997
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,149,325,1.685252,0.0,0.12197805577617336,0.12091525569345443,0.12091525569345443,0,optimal,0,0,1.6852777721360326,1.819544019000002
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,70,105,1.225084,0.0,0.09904064818882075,0,0,0,optimal,0,0,1.2251001242548227,1.280263092000002
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,201,540,2.501619,0.10315762481857187,0.1303979275024918,0.11768889512577063,0.11267110044353414,0.10315762481857187,timelimit,0,0,2.5016451412811875,2.742813316000003
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,74,146,1.456642,0.0,0.0685505293106411,0,0,0,optimal,0,0,1.456661500968039,1.512905136999997
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,201,549,2.5028449999999998,0.10515214796238354,0.13087737113593578,0.12746385794341208,0.11984079116327012,0.10515214796238354,timelimit,0,0,2.502869440242648,2.7321883259999993
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,49,314,1.397097,0.0,0,0,0,0,optimal,0,0,1.3971142247319221,1.4556655159999963
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,62,256,1.473009,0.0,0.1266805839993306,0,0,0,optimal,0,0,1.4730276875197887,1.5428331080000035
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,65,300,1.5870389999999999,0.0,0.11379541160378033,0,0,0,optimal,0,0,1.5870569441467524,1.6616896739999945
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,51,328,1.487695,0.0,0,0,0,0,optimal,0,0,1.4877134719863534,1.5524168589999974
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,65,321,1.493842,0.0,0.11716257131552925,0,0,0,optimal,0,0,1.4938618410378695,1.5631992980000007
