policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,0,small,../data/instances/cddesign/test/instance_1.lp,609,4758,180.24139,0.0016837547352699651,0.0018099858913627294,0.0018015444503568202,0.0017724698338811293,0.001744427737477004,0.0017343842134030511,0.0017282107753732203,0.0017176867631198463,timelimit,0,0,180.24141816422343,180.300633644
ml-competitor:svmrank_khalil,2,small,../data/instances/cddesign/test/instance_1.lp,616,4698,180.203012,0.001706511851510995,0.0018165365678234017,0.0018165365678234017,0.0017999525956237702,0.0017714383215194605,0.001755510696025064,0.001737768974469625,0.001737768974469625,timelimit,0,0,180.20303422771394,180.285061965
ml-competitor:svmrank_khalil,4,small,../data/instances/cddesign/test/instance_1.lp,613,4749,180.186038,0.0017772941210558028,0.001797818649684979,0.001788500912662458,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,timelimit,0,0,180.18606112152338,180.25765537400002
gcnn:baseline,0,small,../data/instances/cddesign/test/instance_1.lp,7247,12862,180.00212,0.0015926720978197634,0.001820693908200908,0.001820693908200908,0.001820693908200908,0.001768741843201377,0.0017378860121941913,0.0017378860121941913,0.0017378860121941913,timelimit,0,0,180.0021449662745,165.6301621240001
gcnn:baseline,2,small,../data/instances/cddesign/test/instance_1.lp,7176,13137,180.000573,0.001622199615150964,0.0018142676802728021,0.0018089479982533819,0.0018089479982533819,0.0017708653666889502,0.0017642177383547788,0.0017445835466744853,0.0017442372555542412,timelimit,0,0,180.00060943327844,166.79742470299993
gcnn:baseline,4,small,../data/instances/cddesign/test/instance_1.lp,7164,13847,180.06593,0.0016247063452927701,0.0018020059770849895,0.0018020059770849895,0.0018020059770849895,0.0017849953175662653,0.0017849953175662653,0.0017849953175662653,0.0017849953175662653,timelimit,0,0,180.06595182046294,167.02288056700002
ml-competitor:svmrank_khalil,0,small,../data/instances/cddesign/test/instance_6.lp,618,4803,180.213501,0.0016837547352699651,0.0018099858913627294,0.0018015444503568202,0.0017724698338811293,0.001744427737477004,0.0017343842134030511,0.0017282107753732203,0.0017176867631198463,timelimit,0,0,180.21353211067617,180.28062042700003
ml-competitor:svmrank_khalil,2,small,../data/instances/cddesign/test/instance_6.lp,623,4705,180.009058,0.0017040306614238365,0.0018165365678234017,0.0018165365678234017,0.0017999525956237702,0.0017714383215194605,0.001755510696025064,0.001737768974469625,0.001737768974469625,timelimit,0,0,180.00907838717103,180.09708157
ml-competitor:svmrank_khalil,4,small,../data/instances/cddesign/test/instance_6.lp,625,4761,180.173323,0.0017772941210558028,0.001797818649684979,0.001788500912662458,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,0.0017772941210558028,timelimit,0,0,180.1733439862728,180.2570649349998
gcnn:baseline,0,small,../data/instances/cddesign/test/instance_6.lp,7265,12880,180.020028,0.0015926720978197634,0.001820693908200908,0.001820693908200908,0.001820693908200908,0.001768741843201377,0.0017378860121941913,0.0017378860121941913,0.0017378860121941913,timelimit,0,0,180.02005692757666,166.84699919600007
