policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,203,360,15.090671,0.0,0.003397908374912392,0.0033082629615190967,0.0032807154462759468,0,optimal,0,0,15.090736798942089,15.081417362
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,229,323,15.216617,0.0,0.002712531400848565,0.002394896043868434,0.0023516201554093738,0.0013491132417494172,optimal,0,0,15.216670645400882,15.226798041999999
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,213,341,15.189928,0.0,0.002875670418458238,0.0024012173058212075,0.0020228980723086664,0,optimal,0,0,15.189981888979673,15.199902182000002
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,217,346,16.361425,0.0,0.002875670418458238,0.00237206359407458,0.002034776235489501,0.0007518273562476874,optimal,0,0,16.361479089595377,16.372170900999997
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,201,294,13.738296,0.0,0.003275317958748519,0.002828722707732192,0.0027256561345201905,0,optimal,0,0,13.738346793688834,13.747141885000005
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,235,377,14.532831,0.0,0.002428246634792157,0.002428246634792157,0.002428246634792157,0,optimal,0,0,14.532867707312107,15.493025582000001
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,191,297,14.381923,0.0,0.0032039979576559646,0.0024190104829152296,0.0024173073601334904,0,optimal,0,0,14.38197576161474,15.313047072000003
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,342,15.80183,0.0,0.0025712925777586094,0.0024227533740163428,0.0020228980723086664,0,optimal,0,0,15.801876381970942,16.761141852999998
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,199,298,14.974379,0.0,0.003261232401659998,0.0027841511250617746,0.0027841511250617746,0,optimal,0,0,14.974429639987648,15.92307103799999
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,275,14.279043,0.0,0.0032039979576559646,0.0032039979576559646,0.002419010482915436,0,optimal,0,0,14.279087302275002,15.200633721999992
