policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,203,360,30.095281,0.0,0.003397908374912392,0.0033082629615190967,0.0032807154462759468,0.0019933953710719555,0,0,0,optimal,0,0,30.095377391204238,29.696354563
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,229,323,29.922529,0.0,0.002712531400848565,0.002394896043868434,0.0023516201554093738,0.0020247851634664156,0.0013491132417494172,0,0,optimal,0,0,29.9226379878819,29.81411619
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,213,341,30.051771,0.0,0.002875670418458238,0.0024012173058212075,0.0020228980723086664,0.0016806203207004173,0,0,0,optimal,0,0,30.05184295773506,29.769576627000006
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,217,346,31.598281,0.0,0.002875670418458238,0.00237206359407458,0.002034776235489501,0.0013385833632811506,0.0007518273562476874,0,0,optimal,0,0,31.598343186080456,31.541925565000014
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,201,294,27.552066,0.0,0.003275317958748519,0.002828722707732192,0.0027256561345201905,0.001919665469261361,0,0,0,optimal,0,0,27.55213895998895,27.54613145799999
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,235,377,29.409907,0.0,0.002428246634792157,0.002428246634792157,0.002428246634792157,0.002086694476489469,0,0,0,optimal,0,0,29.409982388839126,29.50403296799999
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,191,297,27.451441,0.0,0.0032039979576559646,0.0024190104829152296,0.0024173073601334904,0.0013068634503931114,0,0,0,optimal,0,0,27.45148664712906,27.904501382999996
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,342,30.105835,0.0,0.0025712925777586094,0.0024227533740163428,0.0020228980723086664,0.0013642243310771208,0,0,0,optimal,0,0,30.105889704078436,30.544671131
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,199,298,24.376881,0.0,0.003261232401659998,0.0027841511250617746,0.0027841511250617746,0.0014299816387168152,0,0,0,optimal,0,0,24.376957086846232,25.237519134999985
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,275,21.229712,0.0,0.0032039979576559646,0.0032039979576559646,0.002419010482915436,0.0014939335214516098,0,0,0,optimal,0,0,21.229822734370828,21.962427560000037
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,221,354,41.157918,0.0,0.002564484197062098,0.0018841270332487477,0.0016267606168276988,0.0014834944049495744,0.0007522197411519046,0,0,optimal,0,0,41.15800128504634,40.561820369999964
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,249,386,47.789194,0.0,0.002288134372890416,0.0019041902659792634,0.0018419375560373278,0.0013606416732004792,0.0008655501125106944,0,0,optimal,0,0,47.78926425985992,47.347591590000036
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,223,345,36.524749,0.0,0.0026621180300852114,0.002281727429718036,0.0019287704017224635,0.001828193571381793,0,0,0,optimal,0,0,36.52481968700886,36.51081122199997
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,217,330,42.260099,0.0,0.0022939157432738345,0.0019440501975281877,0.0019440501975281877,0.0018992526703420296,0.001856549854499884,0,0,optimal,0,0,42.26016275584698,42.12105236100001
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,237,378,47.734847,0.0,0.0025509971947535086,0.001946930511766878,0.0019064476615145722,0.0018102387807242873,0.0013731585794126207,0,0,optimal,0,0,47.73491464741528,46.46183838799999
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,337,42.260159,0.0,0.002007984357807816,0.0019466679042312175,0.0019466679042312175,0.001894585185065732,0,0,0,optimal,0,0,42.260252909734845,41.840885117000084
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,255,375,47.901458,0.0,0.002288134372890416,0.001998379292782488,0.0019301158823873382,0.0015334771801057724,0.0013606416732004792,0,0,optimal,0,0,47.901530081406236,47.594902228000024
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,227,334,36.084098,0.0,0.0026621180300852114,0.002007065983537286,0.0019287704017224635,0.0019096648357167535,0.001875036093049353,0,0,optimal,0,0,36.08417975343764,35.02343079400009
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,332,43.891923,0.0,0.0022939157432738345,0.001962925593407366,0.001962925593407366,0.0019313075879180204,0.0013776389941321284,0,0,optimal,0,0,43.8919975720346,43.49495286699994
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,327,42.04302,0.0,0.001946930511766878,0.001946930511766878,0.0019289129531996703,0.0017231429183590583,0,0,0,optimal,0,0,42.04319220781326,41.696728992999965
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,59,156,32.373241,0.0,0.0008315925982646317,0,0,0,0,0,0,optimal,0,0,32.37331483513117,32.11966424399998
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_3.lp,71,165,34.244396,0.0,0.0018101080537129743,0,0,0,0,0,0,optimal,0,0,34.244470439851284,33.7419970599999
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_3.lp,57,166,28.679249,0.0,0.0009656539347536847,0,0,0,0,0,0,optimal,0,0,28.679334223270416,28.172712015000002
