policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,203,360,15.015904,0.0,0.003397908374912392,0.0033082629615190967,0.0032807154462759468,0.0019933953710719555,0,0,0,optimal,0,0,15.015974244102836,15.003939024
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,229,323,15.169,0.0,0.002712531400848565,0.002394896043868434,0.0023516201554093738,0.0020247851634664156,0.0013491132417494172,0,0,optimal,0,0,15.169048134237528,15.177672362
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,213,341,15.151955,0.0,0.002875670418458238,0.0024012173058212075,0.0020228980723086664,0.0016806203207004173,0,0,0,optimal,0,0,15.152006616815925,15.159526345000003
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,217,346,16.386604,0.0,0.002875670418458238,0.00237206359407458,0.002034776235489501,0.0013385833632811506,0.0007518273562476874,0,0,optimal,0,0,16.386655056849122,16.395090894
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,201,294,13.7084,0.0,0.003275317958748519,0.002828722707732192,0.0027256561345201905,0.001919665469261361,0,0,0,optimal,0,0,13.708452692255378,13.715283157000002
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,235,377,14.493979,0.0,0.002428246634792157,0.002428246634792157,0.002428246634792157,0.002086694476489469,0,0,0,optimal,0,0,14.494030704721808,15.472424505000006
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,191,297,14.422051,0.0,0.0032039979576559646,0.0024190104829152296,0.0024173073601334904,0.0013068634503931114,0,0,0,optimal,0,0,14.42208730429411,15.363725454999994
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,342,15.721708,0.0,0.0025712925777586094,0.0024227533740163428,0.0020228980723086664,0.0013642243310771208,0,0,0,optimal,0,0,15.721759517677128,16.683120401999986
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,199,298,14.842345,0.0,0.003261232401659998,0.0027841511250617746,0.0027841511250617746,0.0014299816387168152,0,0,0,optimal,0,0,14.842409058474004,15.791849091000017
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,275,14.336327,0.0,0.0032039979576559646,0.0032039979576559646,0.002419010482915436,0.0014939335214516098,0,0,0,optimal,0,0,14.336365369148552,15.250994372999997
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,209,342,20.000957,0.00039461181984154915,0.002564484197062098,0.0018841270332487477,0.0016267606168276988,0.0014834944049495744,0.0007522197411519046,0,0,timelimit,0,0,20.001002242788672,20.01261055500001
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,152,287,20.008659,0.0013606416732004792,0.002288134372890416,0.0019041902659792634,0.0018419375560373278,0.0013606416732004792,0,0,0,timelimit,0,0,20.008716103620827,20.01873651699998
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,223,345,19.088989,0.0,0.0026621180300852114,0.002281727429718036,0.0019287704017224635,0.001828193571381793,0,0,0,optimal,0,0,19.089034407399595,19.098669057999984
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,171,284,20.000831,0.0018992526703420296,0.0022939157432738345,0.0019440501975281877,0.0019440501975281877,0.0018992526703420296,0,0,0,timelimit,0,0,20.000882423482835,20.010626209999998
ml-competitor:svmrank_khalil,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,156,297,20.000815,0.0018102387807242873,0.0025509971947535086,0.001946930511766878,0.0019064476615145722,0.0018102387807242873,0,0,0,timelimit,0,0,20.000843069516122,20.01041780999998
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,178,295,20.000827,0.001894585185065732,0.002007984357807816,0.0019466679042312175,0.0019466679042312175,0.001894585185065732,0,0,0,timelimit,0,0,20.0008639767766,20.96728040100004
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,171,291,20.002641,0.0015334771801057724,0.002288134372890416,0.001998379292782488,0.0019301158823873382,0,0,0,0,timelimit,0,0,20.002695359289646,20.971256686000004
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,227,334,18.032516,0.0,0.0026621180300852114,0.002007065983537286,0.0019287704017224635,0.0019096648357167535,0.001875036093049353,0,0,optimal,0,0,18.032555363141,19.007245218000037
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,194,307,20.000666,0.001875036093049353,0.0022939157432738345,0.001962925593407366,0.001962925593407366,0.0019313075879180204,0,0,0,timelimit,0,0,20.000722208060324,20.969567912000002
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,201,309,20.03873,0.0010161016307907486,0.001946930511766878,0.001946930511766878,0.0019289129531996703,0.0017231429183590583,0,0,0,timelimit,0,0,20.03877113480121,21.010281509000038
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,59,156,16.278988,0.0,0.0008315925982646317,0,0,0,0,0,0,optimal,0,0,16.279036016203463,16.288233544000036
ml-competitor:svmrank_khalil,6,small,../data/instances/facilities/test_100_100_5/instance_3.lp,71,165,17.443588,0.0,0.0018101080537129743,0,0,0,0,0,0,optimal,0,0,17.443627101369202,17.451732356000036
ml-competitor:svmrank_khalil,8,small,../data/instances/facilities/test_100_100_5/instance_3.lp,57,166,15.226401,0.0,0.0009656539347536847,0,0,0,0,0,0,optimal,0,0,15.226455750875175,15.233920030000036
ml-competitor:svmrank_khalil,10,small,../data/instances/facilities/test_100_100_5/instance_3.lp,60,146,13.083698,0.0,0.001025625738354697,0,0,0,0,0,0,optimal,0,0,13.083737720735371,13.089942105999967
