policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_1.lp,95,203,17.01,0.0,optimal,50,0,17.640081321820617,17.652106907
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_1.lp,55,213,20.06,0.0,optimal,46,0,20.6830040756613,20.691958495999998
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_1.lp,39,159,16.61,0.0,optimal,50,0,17.063838189467788,17.070689267000006
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_1.lp,35,155,16.69,0.0,optimal,60,0,17.270651508122683,17.277205244000008
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_1.lp,30,132,15.94,0.0,optimal,40,0,16.402174405753613,16.408571221000003
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_1.lp,179,267,14.07,0.0,optimal,0,0,13.794574772939086,14.707509532999993
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_1.lp,165,337,17.88,0.0,optimal,0,0,17.567384222522378,18.511191686000004
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,289,15.27,0.0,optimal,0,0,15.011005280539393,15.964746273999992
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_1.lp,193,296,15.78,0.0,optimal,0,0,15.46310488320887,16.426009798999985
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_1.lp,219,316,16.64,0.0,optimal,0,0,16.395950784906745,17.378150731999995
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_2.lp,111,279,29.05,0.0,optimal,56,0,29.930188426747918,29.943255496999996
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_2.lp,91,251,23.82,0.0,optimal,42,0,24.584084218367934,24.593518966999994
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_2.lp,97,253,30.14,0.0,optimal,41,0,31.024213990196586,31.035738527999968
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_2.lp,105,267,30.58,0.0,optimal,46,1,31.461385371163487,31.473445139999967
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_2.lp,93,248,27.79,0.0,optimal,43,0,28.600462697446346,28.61092509399998
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_2.lp,241,351,21.64,0.0,optimal,0,0,21.560598108917475,22.56836095799997
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_2.lp,205,322,19.51,0.0,optimal,0,0,19.341775480657816,20.32084089199998
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_2.lp,233,346,22.91,0.0,optimal,0,0,22.748533183708787,23.75679269699998
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_2.lp,231,342,23.6,0.0,optimal,0,0,23.43452406860888,24.437575595999988
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,326,21.65,0.0,optimal,0,0,21.785802325233817,22.79074338700002
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_3.lp,3,107,15.66,0.0,optimal,23,1,16.169258320704103,16.17699356700001
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_3.lp,5,110,16.18,0.0,optimal,16,1,16.693421233445406,16.700472848000004
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_3.lp,5,112,22.38,0.0,optimal,18,1,22.961229775100946,22.97049475
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_3.lp,13,106,19.49,0.0,optimal,21,0,20.002680383622646,20.01055008900005
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_3.lp,3,108,17.13,0.0,optimal,19,0,17.672213757410645,17.679346498000086
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_3.lp,43,127,14.15,0.0,optimal,0,0,13.780588006600738,14.636189322000064
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_3.lp,61,142,14.04,0.0,optimal,0,0,13.648528978228569,14.513993351999943
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_3.lp,45,154,21.14,0.0,optimal,0,0,20.787185799330473,21.64879205200009
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_3.lp,39,142,17.06,0.0,optimal,0,0,16.650500843301415,17.500542947999975
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_3.lp,41,127,15.16,0.0,optimal,0,0,14.749608255922794,15.600032513999963
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_4.lp,199,503,64.16,0.0,optimal,142,0,65.73331588320434,65.75975193699992
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_4.lp,169,471,64.09,0.0,optimal,184,0,65.5677847135812,65.59218120699995
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_4.lp,121,380,51.05,0.0,optimal,136,0,52.349833346903324,52.37014212500003
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_4.lp,173,459,55.62,0.0,optimal,122,0,56.95881779305637,56.979970208000054
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_4.lp,187,444,58.68,0.0,optimal,143,0,60.178177278488874,60.200992805000055
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_4.lp,268,509,37.87,0.0,optimal,0,0,37.91338464990258,39.00187858300001
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_4.lp,296,515,41.89,0.0,optimal,0,0,41.96299561113119,43.08513769599995
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_4.lp,270,470,34.66,0.0,optimal,0,0,34.71892650797963,35.80086226000003
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_4.lp,212,376,30.83,0.0,optimal,0,0,30.729169523343444,31.75307749800004
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_4.lp,275,535,43.41,0.0,optimal,0,0,43.598973320797086,44.68270726999981
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,49,5.74,0.0,optimal,3,1,6.0207645781338215,6.023524249000047
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,36,5.4,0.0,optimal,6,1,5.649736054241657,5.652262918000133
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,51,6.5,0.0,optimal,2,1,6.763933092355728,6.767016843999954
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,53,8.47,0.0,optimal,4,1,8.86210361868143,8.865410037999936
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_5.lp,1,91,12.0,0.0,optimal,1,1,12.413472918793559,12.41829980600005
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,62,6.35,0.0,optimal,0,0,5.754450568929315,6.588272409999945
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_5.lp,27,50,5.44,0.0,optimal,0,0,4.860717136412859,5.6813118399998075
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_5.lp,35,75,6.95,0.0,optimal,0,0,6.412819352000952,7.253459531999852
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_5.lp,25,73,9.57,0.0,optimal,0,0,9.07225344516337,9.903897260000122
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_5.lp,15,101,12.83,0.0,optimal,0,0,12.512357259169221,13.343020779000199
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_6.lp,321,662,75.92,0.0,optimal,171,0,77.71280751749873,77.74379343300006
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_6.lp,669,1189,101.5,0.0,optimal,157,0,104.1519423443824,104.19139281699995
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_6.lp,309,553,69.26,0.0,optimal,160,0,71.30497711151838,71.33201106999991
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_6.lp,129,314,50.41,0.0,optimal,103,0,51.69972044043243,51.71923059100004
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_6.lp,688,1109,80.49,0.0,optimal,164,0,83.03400273062289,83.0654202159999
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1089,1327,89.13,0.0,optimal,0,0,90.19395327568054,91.88211445599995
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1028,1289,83.01,0.0,optimal,0,0,83.98810016177595,85.67782591500008
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_6.lp,821,975,73.25,0.0,optimal,0,0,74.36747121997178,75.86243567600013
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_6.lp,972,1213,82.87,0.0,optimal,0,0,83.88465440645814,85.51127248800003
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_6.lp,1069,1349,75.06,0.0,optimal,0,0,75.86562330648303,77.58330457900001
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,55,7.05,0.0,optimal,2,1,7.253922259435058,7.259040346999882
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,56,7.36,0.0,optimal,3,1,7.601424215361476,7.606596392999791
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,73,8.53,0.0,optimal,5,0,8.778158044442534,8.784397209999952
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_7.lp,1,47,6.56,0.0,optimal,2,1,6.871873138472438,6.8761239589998695
