policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_1.lp,221,359,19.08,0.0,0.0030812148812088694,0.002596441095565763,0.0011436308259260275,optimal,0,0,18.964679470285773,19.861253556
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_1.lp,201,326,17.83,0.0,0.0029300009272021556,0.002525156743221209,0,optimal,0,0,17.614230474457145,18.565057161000002
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_1.lp,195,329,16.79,0.0,0.00287840579531984,0.0025251567432214277,0,optimal,0,0,16.379805333912373,17.32747791
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_1.lp,195,328,17.57,0.0,0.0029704892102932505,0.002538889924519191,0,optimal,0,0,17.379279231652617,18.326024623000002
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_1.lp,187,330,17.05,0.0,0.0027641944106432904,0.002525156743221209,0,optimal,0,0,16.730716394260526,17.674375538999996
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_2.lp,115,228,17.65,0.0,0.0013070520332652002,0.0010235118956009289,0,optimal,0,0,17.408886620774865,18.295265638999993
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_2.lp,103,244,18.38,0.0,0.0009341179942934906,0,0,optimal,0,0,18.14883941039443,19.016110945999984
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_2.lp,91,223,18.61,0.0,0.0010229804567277287,0,0,optimal,0,0,18.310697646811604,19.170861975999998
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_2.lp,95,240,19.31,0.0,0.0013060461824024104,0,0,optimal,0,0,19.122155364602804,19.997902916999976
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_2.lp,83,196,14.72,0.0,0.0008527633579038724,0,0,optimal,0,0,14.312053745612502,15.164489156000002
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_3.lp,1153,1580,98.17,0.0,0.0039350780603966224,0.0039350780603966224,0.003422348661763328,optimal,0,0,99.53344789147377,101.03234775700003
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_3.lp,967,1268,87.86,0.0,0.00363806451875209,0.003364013503119937,0.0028701077225240994,optimal,0,0,89.03958645276725,90.48498633399998
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_3.lp,908,1154,92.1,0.0,0.003792136641037027,0.003792136641037027,0.0030878964710921862,optimal,0,0,93.60377773083746,95.180565709
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_3.lp,1208,1629,98.99,0.0,0.004309254211945201,0.004194575537019009,0.0035653686593005644,optimal,0,0,100.10764883644879,101.90126980000002
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_3.lp,1304,1572,103.61,0.0,0.004191178297252142,0.00418448936304645,0.00418448936304645,optimal,0,0,105.28579495474696,106.97969765100004
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_4.lp,133,254,17.88,0.0,0.0013467098681246325,0.0008013407493456626,0,optimal,0,0,17.647245271131396,18.55656757099996
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_4.lp,115,261,17.11,0.0,0.0011563442878335882,0.00046070346106341837,0,optimal,0,0,16.709716238081455,17.601919235999958
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_4.lp,87,208,16.39,0.0,0.0008381594905228156,0,0,optimal,0,0,15.963992647826672,16.848298970999963
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_4.lp,81,188,15.53,0.0,0.0005342837111643639,0,0,optimal,0,0,15.303363285958767,16.170985384000005
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_4.lp,91,173,13.95,0.0,0.0010958110364903744,0,0,optimal,0,0,13.712976710870862,14.58862805299998
