policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,235,377,33.11,0.0,0.002428246634792157,0.002428246634792157,0.002428246634792157,0,optimal,0,0,35.331800293177366,34.745614332
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_1.lp,191,297,33.64,0.0,0.0032039979576559646,0.0024190104829152296,0.0024173073601334904,0,optimal,0,0,35.398846773430705,34.784271677999996
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,342,36.75,0.0,0.0025712925777586094,0.0024227533740163428,0.0020228980723086664,0,optimal,0,0,38.48708012327552,38.058288145999995
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_1.lp,199,298,33.66,0.0,0.003261232401659998,0.0027841511250617746,0.0027841511250617746,0,optimal,0,0,35.66137145087123,34.94183414499999
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_1.lp,181,275,35.21,0.0,0.0032039979576559646,0.0032039979576559646,0.002419010482915436,0,optimal,0,0,36.7100332248956,36.59510142100001
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,337,31.94,0.0,0.002007984357807816,0.0019466679042312175,0.0019466679042312175,0,optimal,0,0,32.168053079396486,33.05601987899999
gcnn:baseline,6,small,../data/instances/facilities/test_100_100_5/instance_2.lp,255,375,32.48,0.0,0.002288134372890416,0.001998379292782488,0.0019301158823873382,0.0013606416732004792,optimal,0,0,32.76320741325617,33.66960732000001
gcnn:baseline,8,small,../data/instances/facilities/test_100_100_5/instance_2.lp,227,334,31.77,0.0,0.0026621180300852114,0.002007065983537286,0.0019287704017224635,0.001875036093049353,optimal,0,0,31.999787094071507,32.90552905199996
gcnn:baseline,10,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,332,45.22,0.0,0.0022939157432738345,0.001962925593407366,0.001962925593407366,0.0013776389941321284,optimal,0,0,45.91666457988322,46.82370921300003
gcnn:baseline,12,small,../data/instances/facilities/test_100_100_5/instance_2.lp,219,327,38.85,0.0,0.001946930511766878,0.001946930511766878,0.0019289129531996703,0,optimal,0,0,39.14846388809383,40.062092225000015
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_3.lp,39,122,24.14,0.0,0,0,0,0,optimal,0,0,24.05677357316017,24.863823819000004
