policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_1.lp,195,332,12.410886,0.0,0.0032738033974092063,0.0029121802538275366,0.0028135546390157225,0.0012803011133295347,0,0,0,optimal,0,0,12.41093282867223,12.395325415999999
ml-competitor:svmrank_khalil,1,small,../data/instances/facilities/test_100_100_5/instance_1.lp,187,309,13.229529,0.0,0.002875670418458238,0.0024012173058212075,0.0024012173058212075,0.0011807784508522886,0,0,0,optimal,0,0,13.229577040299773,13.237467958
ml-competitor:svmrank_khalil,2,small,../data/instances/facilities/test_100_100_5/instance_1.lp,157,298,16.892123,0.0,0.001981347878423378,0.0014732464811969426,0.0013789269154850785,0,0,0,0,optimal,0,0,16.892171849496663,16.903207565000002
ml-competitor:svmrank_khalil,3,small,../data/instances/facilities/test_100_100_5/instance_1.lp,155,253,13.662052,0.0,0.0026420160271329765,0.0023225778046160723,0.0012936199798199493,0,0,0,0,optimal,0,0,13.662120780907571,13.670903026000005
ml-competitor:svmrank_khalil,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,239,395,16.34104,0.0,0.003318720366966528,0.0032884136200192564,0.0028835736396882333,0.002231861354296385,0.0013526990027775772,0,0,optimal,0,0,16.34108511917293,16.351531279
gcnn:baseline,0,small,../data/instances/facilities/test_100_100_5/instance_1.lp,187,294,13.162565,0.0,0.00356205494426538,0.002690664647556355,0.002428246634792157,0.0017431769382788922,0,0,0,optimal,0,0,13.162595444358885,13.917268938999996
gcnn:baseline,1,small,../data/instances/facilities/test_100_100_5/instance_1.lp,171,255,12.236012,0.0,0.0032617825753221614,0.002875670418458238,0.002297452644520904,0.0008426341828049463,0,0,0,optimal,0,0,12.236059531569481,13.129525272999999
gcnn:baseline,2,small,../data/instances/facilities/test_100_100_5/instance_1.lp,139,294,16.777322,0.0,0.0029235266635468386,0.001588668611071977,0.001588668611071977,0,0,0,0,optimal,0,0,16.7773530613631,17.668586161999997
gcnn:baseline,3,small,../data/instances/facilities/test_100_100_5/instance_1.lp,151,249,13.049338,0.0,0.002575592458096326,0.0023225778046160723,0.0020405965501403434,0,0,0,0,optimal,0,0,13.04938013292849,13.960503653000004
gcnn:baseline,4,small,../data/instances/facilities/test_100_100_5/instance_1.lp,221,363,15.088993,0.0,0.002778374622242977,0.002778374622242977,0.0024631033178806805,0.001921712820697293,0.0008828161459792066,0,0,optimal,0,0,15.089031469076872,15.984100799000004
ml-competitor:svmrank_khalil,0,small,../data/instances/facilities/test_100_100_5/instance_2.lp,203,318,19.13913,0.0,0.002007984357807606,0.002007984357807606,0.0019486428918305523,0.0018618514439760045,0,0,0,optimal,0,0,19.139171294867992,19.15244867199999
