policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,79,325,5.434096,0.0,0.07332911913048328,0.04580697941282949,0,0,0,0,0,optimal,0,0,5.434159269556403,5.4048367630000005
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,130,388,6.534567,0.0,0.14067948082286985,0.14007609901422158,0.06487515694521569,0,0,0,0,optimal,0,0,6.534617610275745,6.536438575999998
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,77,334,5.681229,0.0,0.05935445509189436,0.04121808706501028,0,0,0,0,0,optimal,0,0,5.681279432028532,5.683319794999999
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,225,556,8.947965,0.0,0.14489233181995662,0.1400760990142213,0.1400760990142213,0.12525486572424496,0.05025348453712009,0,0,optimal,0,0,8.948017010465264,8.950594850000002
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,193,538,7.774117,0.0,0.14398783763073442,0.14398783763073442,0.14398783763073442,0.12781033924855678,0,0,0,optimal,0,0,7.774163790047169,7.776177910000001
gcnn:baseline,4,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,3002,4009,23.772441,0.0,0.16416306802618202,0.16416306802618202,0.16294341515140598,0.1439755717587401,0.14118202628065285,0.1394446174551748,0.13903706065269203,optimal,0,0,23.77246622554958,25.30012741099999
gcnn:baseline,6,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,148,594,5.258942,0.0,0.1427615400982475,0.1201780469079157,0.11756688075534907,0,0,0,0,optimal,0,0,5.25896992534399,5.367829396999994
gcnn:baseline,8,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,5240,5389,30.291628,0.0,0.16842639691632474,0.16842639691632474,0.16842639691632474,0.16800111194500975,0.16800111194500975,0.16800111194500975,0.16792126859210862,optimal,0,0,30.29166427627206,32.68123106499999
gcnn:baseline,10,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,611,874,7.641725,0.0,0.15523774361353007,0.14523061951475374,0.14523061951475374,0.12941943540049017,0.1276091559305436,0.1276091559305436,0.12741603023492015,optimal,0,0,7.6417471915483475,7.963247273999997
gcnn:baseline,12,small,../data/instances/setcover/test_200r_200c_0.05d_2mc_0se/instance_1/instance_1.lp,377,477,6.401545,0.0,0.16843518228411006,0.16843518228411006,0.16843518228411006,0.09540798339135248,0.09540798339135248,0.09540798339135248,0.0949028879393337,optimal,0,0,6.401568733155727,6.566844313999994
