policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,134,476,6.5,0.0,optimal,141,2,7.073465788736939,7.078444932
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,229,627,7.27,0.0,optimal,195,0,7.946229607798159,7.951319516
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,110,478,6.38,0.0,optimal,165,0,7.098614137619734,7.103133473
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,71,297,5.19,0.0,optimal,87,1,5.652575671672821,5.655717842000001
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,113,354,5.73,0.0,optimal,101,1,6.218452068045735,6.221866677000001
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,155,518,4.14,0.0,optimal,0,0,4.498076937161386,4.5738403069999976
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,151,464,4.06,0.0,optimal,0,0,4.328126826323569,4.445141026999998
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,125,469,4.13,0.0,optimal,0,0,4.4271928248927,4.517443540999999
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,135,405,3.87,0.0,optimal,0,0,4.149969928897917,4.25383514
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_1/instance_1.lp,143,422,3.73,0.0,optimal,0,0,3.977025835774839,4.089831413999995
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,738,1110,10.18,0.0,optimal,231,0,11.333862146362662,11.337690622999993
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,558,939,9.8,0.0,optimal,245,0,10.81385896075517,10.820192515000002
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,443,832,9.23,0.0,optimal,234,1,10.174613118171692,10.179867193999996
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,657,1070,10.62,0.0,optimal,269,0,11.71716826595366,11.723440668999999
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,383,709,8.94,0.0,optimal,221,0,9.777551559731364,9.782695723999993
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,594,1177,7.13,0.0,optimal,0,0,7.522305545397103,7.9498107309999995
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,493,954,6.36,0.0,optimal,0,0,6.710501117631793,7.051716860000013
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,537,1011,6.74,0.0,optimal,0,0,7.0171012338250875,7.381389971999994
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,616,1135,7.38,0.0,optimal,0,0,7.638889187015593,8.087703282000007
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_2/instance_2.lp,553,968,6.62,0.0,optimal,0,0,6.9515049094334245,7.317463835000012
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,17,174,3.48,0.0,optimal,44,0,3.737623183056712,3.7401242749999994
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,19,210,3.7,0.0,optimal,53,1,3.914952232502401,3.9174053650000076
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,21,204,3.69,0.0,optimal,42,1,4.053457616828382,4.0559041070000035
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,21,208,3.63,0.0,optimal,46,1,3.8998075211420655,3.9023921300000097
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,17,184,3.54,0.0,optimal,33,1,3.7863254034891725,3.788465704999993
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,97,367,2.92,0.0,optimal,0,0,3.0816391510888934,3.1471443220000026
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,101,405,3.04,0.0,optimal,0,0,3.191755522042513,3.2607714920000035
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,91,289,3.02,0.0,optimal,0,0,3.238007419742644,3.301205017000001
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,101,327,3.02,0.0,optimal,0,0,3.1153674395754933,3.184560441000002
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_3/instance_3.lp,93,327,2.92,0.0,optimal,0,0,3.1030864594504237,3.1619925979999834
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,141,469,7.61,0.0,optimal,160,1,8.264169584028423,8.26705192099999
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,103,411,6.85,0.0,optimal,158,0,7.531713517382741,7.536040836000012
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,104,379,7.26,0.0,optimal,138,1,7.895210503600538,7.895320297000012
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,232,497,7.17,0.0,optimal,131,0,7.9125547064468265,7.917151216000008
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,129,416,6.83,0.0,optimal,126,1,7.510791897773743,7.51521359900002
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,234,544,4.65,0.0,optimal,0,0,5.011841060593724,5.150472589000003
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,238,547,4.38,0.0,optimal,0,0,4.650627797469497,4.82081878599999
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,241,578,4.52,0.0,optimal,0,0,4.772332320921123,4.937553234999996
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,205,486,4.04,0.0,optimal,0,0,4.245114951394498,4.384769979999987
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_4/instance_4.lp,236,620,4.59,0.0,optimal,0,0,4.890586791560054,5.052762425999987
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,78,251,4.58,0.0,optimal,62,0,5.00103470031172,5.00411232700003
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,231,506,5.78,0.0,optimal,143,0,6.292544354684651,6.296575814999983
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,272,560,6.04,0.0,optimal,148,1,6.701929592527449,6.7064390950000075
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,190,444,5.31,0.0,optimal,123,2,5.855841455049813,5.859424362000027
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,175,373,4.87,0.0,optimal,79,2,5.401476442813873,5.4045256560000325
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,198,509,4.42,0.0,optimal,0,0,4.629756988026202,4.787002432999998
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,166,455,4.22,0.0,optimal,0,0,4.49779350310564,4.616258965000043
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,217,530,4.65,0.0,optimal,0,0,4.958444917574525,5.099419685999976
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_5/instance_5.lp,154,417,3.82,0.0,optimal,0,0,4.133218835107982,4.231748578999998
