policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,386,2.15,0.0,0.11543916072471408,0,0,0,optimal,0,0,2.518481560051441,2.602117044
gcnn:baseline,6,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,46,264,1.85,0.0,0,0,0,0,optimal,0,0,2.2185550183057785,2.2737190169999995
gcnn:baseline,8,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,320,1.92,0.0,0.1154391607247143,0,0,0,optimal,0,0,2.1516844872385263,2.2384373699999998
gcnn:baseline,10,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,180,579,2.63,0.0,0.12119280395995705,0.09429353333895192,0.09386576054652405,0,optimal,0,0,2.9280657283961773,3.0803883340000002
gcnn:baseline,12,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,47,267,1.83,0.0,0,0,0,0,optimal,0,0,2.159170776605606,2.203813882000002
gcnn:baseline,4,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.9,0.0,0,0,0,0,optimal,0,0,1.0036596357822418,1.012747406999999
gcnn:baseline,6,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,92,337,1.73,0.0,0.10016064688260096,0.09429670065845154,0,0,optimal,0,0,1.883022479712963,1.9819010380000002
gcnn:baseline,8,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.83,0.0,0,0,0,0,optimal,0,0,0.9353174827992916,0.9441606699999987
gcnn:baseline,10,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,64,228,1.39,0.0,0.101877021968279,0,0,0,optimal,0,0,1.6275188438594341,1.685737605
gcnn:baseline,12,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,41,161,1.29,0.0,0,0,0,0,optimal,0,0,1.4504221361130476,1.4978945190000026
gcnn:baseline,4,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,149,325,1.9,0.0,0.12197805577617336,0.12091525569345443,0.12091525569345443,0,optimal,0,0,2.1783701218664646,2.3151513339999994
gcnn:baseline,6,small,../data/instances/setcover/setcover_100_200_0512/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,70,105,1.38,0.0,0.09904064818882075,0,0,0,optimal,0,0,1.6526852641254663,1.7091235860000005
