policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,150_gap,200_gap,250_gap,300_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,2,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,753,1587,15.354081,0.0,0.3007726390684977,0.28254047736368454,0.2586863092730862,0.24107345377602118,0.2291745649579975,0.22693382290715855,0.21330577928039288,optimal,0,0,15.354127820581198,15.345902815
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,236,827,5.910976,0.0,0.28599631060337066,0.28254047736368454,0.28254047736368454,0.2560667044945808,0.13400440355959173,0,0,optimal,0,0,5.911009636707604,5.9147589620000005
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,240,650,6.140063,0.0,0.4091703589908728,0.3894188504773252,0.37824837806312217,0.3564800039025828,0.1267433512114977,0,0,optimal,0,0,6.140098850242794,6.144132472000003
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,465,997,10.7722,0.0,0.39316266982031817,0.37824837806312195,0.3715420497578347,0.35964715530168156,0.25213538821776854,0.23870691408807426,0.2291493764722748,optimal,0,0,10.77223181258887,10.779293159000005
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,305,745,7.855319,0.0,0.39316266982031844,0.37824837806312167,0.37154204975783395,0.3564800039025828,0.35544465577153544,0.238706914088074,0,optimal,0,0,7.855353310704231,7.8607180309999976
gcnn:baseline,2,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,202,602,3.130056,0.0,0.2859963106033709,0.2741971721206273,0.2553590743436695,0.1380430021502112,0,0,0,optimal,0,0,3.130074121057987,3.2506768479999977
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,241,637,3.370625,0.0,0.38941885047732494,0.3755642220449732,0.360211472477755,0.3451115869946904,0.1325990521535218,0,0,optimal,0,0,3.3706414811313152,3.550354538999997
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,223,622,3.348626,0.0,0.39316266982031817,0.37824837806312217,0.37154204975783445,0.3564800039025828,0,0,0,optimal,0,0,3.34864345472306,3.5070846469999992
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,835,1567,7.432311,0.0,0.3983554072816852,0.38519636370001614,0.3702331924522474,0.35122757585763165,0.23888248433747575,0.23750173045395187,0.22255051565945388,optimal,0,0,7.432329244911671,8.093956022999997
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_1/instance_1.lp,595,1346,5.97981,0.0,0.40922010178169105,0.4044216510460402,0.392082973350956,0.38941885047732494,0.28254047736368454,0.28254047736368454,0.28254047736368454,optimal,0,0,5.979827884584665,6.473278221000001
ml-competitor:svmrank_khalil,2,small,../data/instances/setcover/test_100r_200c_0.1d_1mc_0se/instance_2/instance_2.lp,10,55,1.74443,0.0,0,0,0,0,0,0,0,optimal,0,0,1.744447105564177,1.7455350030000005
