policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,386,1.99854,0.0,0.11543916072471408,0,0,0,optimal,0,0,1.9985925210639834,2.085601512
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,46,264,1.6933829999999999,0.0,0,0,0,0,optimal,0,0,1.6934059020131826,1.747430885
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,75,320,1.709155,0.0,0.1154391607247143,0,0,0,optimal,0,0,1.7091715158894658,1.7953510160000015
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,180,579,2.406738,0.0,0.12119280395995705,0.09429353333895192,0.09386576054652405,0,optimal,0,0,2.406754020601511,2.5862870989999998
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,47,267,1.603365,0.0,0,0,0,0,optimal,0,0,1.6033811951056123,1.652232497
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.775606,0.0,0,0,0,0,optimal,0,0,0.7756230076774955,0.7847178970000002
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,92,337,1.443269,0.0,0.10016064688260096,0.09429670065845154,0,0,optimal,0,0,1.4432851523160934,1.5377128189999993
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,13,34,0.74015,0.0,0,0,0,0,optimal,0,0,0.7401700438931584,0.7487130610000001
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,64,228,1.244636,0.0,0.101877021968279,0,0,0,optimal,0,0,1.2446537530049682,1.300731367000001
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,41,161,1.107257,0.0,0,0,0,0,optimal,0,0,1.1072743432596326,1.1532408469999993
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,149,325,1.68141,0.0,0.12197805577617336,0.12091525569345443,0.12091525569345443,0,optimal,0,0,1.6814284874126315,1.8159890230000002
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,70,105,1.225998,0.0,0.09904064818882075,0,0,0,optimal,0,0,1.2260232158005238,1.2816774670000015
gcnn:baseline,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,216,562,2.574181,0.0,0.1303979275024918,0.11768889512577063,0.11267110044353414,0.10315762481857187,optimal,0,0,2.574200530536473,2.8288991539999984
gcnn:baseline,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,74,146,1.448256,0.0,0.0685505293106411,0,0,0,optimal,0,0,1.44827336166054,1.5051591189999982
gcnn:baseline,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,218,571,2.6117619999999997,0.0,0.13087737113593578,0.12746385794341208,0.11984079116327012,0.10515214796238354,optimal,0,0,2.6117804320529103,2.8540371590000007
gcnn:baseline,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,49,314,1.3793229999999999,0.0,0,0,0,0,optimal,0,0,1.37934217043221,1.4366822230000054
gcnn:baseline,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,62,256,1.454567,0.0,0.1266805839993306,0,0,0,optimal,0,0,1.4545881729573011,1.5228272610000033
