policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,1,25,1.033399,0.15070529169347685,0,0,0,0,timelimit,0,0,1.0334200114011765,1.0124550680000004
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,1,23,1.00173,0.15092726131251474,0,0,0,0,timelimit,0,0,1.0017992937937379,1.0016552339999993
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,3,27,1.022963,0.15066280203571025,0,0,0,0,timelimit,0,0,1.022977109067142,1.0228183390000005
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,2,26,1.01896,0.15066280203571003,0,0,0,0,timelimit,0,0,1.0189730152487755,1.018774583999999
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,1,23,1.000539,0.15092726131251616,0,0,0,0,timelimit,0,0,1.0005563674494624,1.0003753999999994
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,11,32,0.688673,0.0,0,0,0,0,optimal,0,0,0.6886976100504398,0.6886734190000006
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,11,43,1.024616,0.1252829073192486,0,0,0,0,timelimit,0,0,1.0246310457587242,1.024451742
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,15,41,0.6838339999999999,0.0,0,0,0,0,optimal,0,0,0.6838468946516514,0.6836852699999998
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,12,46,1.011403,0.12500145604154897,0,0,0,0,timelimit,0,0,1.0114156994968653,1.0110210520000003
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,10,46,1.006052,0.13337652219570595,0,0,0,0,timelimit,0,0,1.0060819713398814,1.0058795539999998
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,8,43,1.006023,0.1615340699287284,0,0,0,0,timelimit,0,0,1.006036875769496,1.0057398429999989
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,8,28,1.010743,0.21704080081443153,0,0,0,0,timelimit,0,0,1.010755150578916,1.0104908049999999
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,5,27,1.003586,0.16167227317577823,0,0,0,0,timelimit,0,0,1.0035974457859993,1.0033668469999988
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,6,29,1.0193159999999999,0.16153406992872865,0,0,0,0,timelimit,0,0,1.0193493431434035,1.0191402719999978
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,4,26,1.027195,0.16167227317577823,0,0,0,0,timelimit,0,0,1.0272086011245847,1.0270137110000022
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,7,36,1.028519,0.14020811587993126,0,0,0,0,timelimit,0,0,1.0285319481045008,1.0283319450000015
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,6,26,1.016332,0.140345993661098,0,0,0,0,timelimit,0,0,1.0163444420322776,1.0161361940000013
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,6,26,1.007828,0.14020811587993104,0,0,0,0,timelimit,0,0,1.0078407796099782,1.0076742120000013
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,6,26,1.028128,0.14020811587993104,0,0,0,0,timelimit,0,0,1.0281399535015225,1.027957168999997
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,6,26,1.000077,0.14020811587993126,0,0,0,0,timelimit,0,0,1.0001087337732315,0.9999035630000002
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1,31,1.00186,0.18498464152970398,0,0,0,0,timelimit,0,0,1.0018800972029567,1.0016732079999997
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1,31,1.001831,0.18498464152970398,0,0,0,0,timelimit,0,0,1.0018491111695766,1.001662881999998
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1,31,1.001942,0.24423387360618892,0,0,0,0,timelimit,0,0,1.0019608391448855,1.0017667020000012
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1,31,1.001835,0.18498464152970398,0,0,0,0,timelimit,0,0,1.0018522990867496,1.001660515000001
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,1,31,1.001777,0.18498464152970398,0,0,0,0,timelimit,0,0,1.001793215982616,1.0015845120000009
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,52,0.8596159999999999,0.0,0,0,0,0,optimal,0,0,0.8596280142664909,0.8594735849999999
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,58,0.875157,0.0,0,0,0,0,optimal,0,0,0.8751699766144156,0.8749810069999988
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,57,0.863804,0.0,0,0,0,0,optimal,0,0,0.8638381762430072,0.8636432269999972
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,64,0.94165,0.0,0,0,0,0,optimal,0,0,0.9416652312502265,0.9414666670000003
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,59,0.879452,0.0,0,0,0,0,optimal,0,0,0.8794634882360697,0.879306763999999
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,5,29,1.027733,0.2214070189445834,0,0,0,0,timelimit,0,0,1.027745713479817,1.0275814879999956
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,4,28,1.023097,0.2214070189445834,0,0,0,0,timelimit,0,0,1.0231092497706413,1.0228795490000024
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,4,28,1.005341,0.22140701894458312,0,0,0,0,timelimit,0,0,1.0053530726581812,1.0051527689999986
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,2,26,1.018874,0.22140701894458364,0,0,0,0,timelimit,0,0,1.018886717967689,1.0187016369999995
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,4,28,1.001738,0.2214070189445834,0,0,0,0,timelimit,0,0,1.0017512449994683,1.0015381679999962
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,5,36,1.016793,0.14038752177065597,0,0,0,0,timelimit,0,0,1.0168062197044492,1.0165699289999992
