policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,41,138,2.016282,0.12733373703486486,0,0,0,0,timelimit,0,0,2.0163024365901947,1.9961066
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,26,195,2.000223,0.13057033095938977,0,0,0,0,timelimit,0,0,2.000256252475083,1.9998996990000002
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,41,110,2.023966,0.12041800999462748,0,0,0,0,timelimit,0,0,2.023998498916626,2.0234631289999996
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,55,155,2.003585,0.1253422397516492,0.1253422397516492,0,0,0,timelimit,0,0,2.00361683126539,2.0031880520000005
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,30,97,2.000056,0.1250812906133101,0,0,0,0,timelimit,0,0,2.0000909864902496,1.999700559999999
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,11,32,0.694811,0.0,0,0,0,0,optimal,0,0,0.6948351711034775,0.6947938399999991
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,59,290,2.00001,0.10432951169636703,0.10432951169636703,0,0,0,timelimit,0,0,2.0000250581651926,1.9996326199999999
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,15,41,0.684412,0.0,0,0,0,0,optimal,0,0,0.6844259221106768,0.6842622709999979
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,20,118,1.1326209999999999,0.0,0,0,0,0,optimal,0,0,1.1326533006504178,1.1323826870000033
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,53,259,2.0002,0.10575628047784102,0.1159166938954159,0,0,0,timelimit,0,0,2.0002153236418962,1.9997570829999987
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,35,294,2.019663,0.13023725736316613,0,0,0,0,timelimit,0,0,2.0196918826550245,2.0191897390000015
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,47,270,2.016042,0.13625918078598315,0,0,0,0,timelimit,0,0,2.0160545678809285,2.0156774020000015
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,34,291,2.00471,0.13625918078598315,0,0,0,0,timelimit,0,0,2.004737655632198,2.0043354340000015
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,36,123,2.022341,0.13056098220329618,0,0,0,0,timelimit,0,0,2.022354707121849,2.0220315550000016
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,33,140,2.000069,0.1362591807859827,0,0,0,0,timelimit,0,0,2.00008278246969,1.9995935009999997
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,50,210,2.005582,0.10912021209160509,0.10912021209160509,0,0,0,timelimit,0,0,2.005602389574051,2.0051626139999996
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,33,68,1.378381,0.0,0,0,0,0,optimal,0,0,1.378395120613277,1.3780084979999998
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,34,120,1.63084,0.0,0,0,0,0,optimal,0,0,1.6308543821796775,1.6304090369999997
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,34,67,1.406908,0.0,0,0,0,0,optimal,0,0,1.4069197475910187,1.4065527459999956
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,29,59,1.245528,0.0,0,0,0,0,optimal,0,0,1.245540269650519,1.2452987770000021
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,18,100,2.000208,0.15645547422726405,0,0,0,0,timelimit,0,0,2.0002237102016807,1.9998119999999986
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,24,187,2.014823,0.15879869918239914,0,0,0,0,timelimit,0,0,2.014853347092867,2.014431455999997
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,16,154,2.020024,0.23460138942492345,0,0,0,0,timelimit,0,0,2.0200378643348813,2.019671437999996
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,20,171,2.000891,0.16755969868211562,0,0,0,0,timelimit,0,0,2.000903334468603,2.000481964000002
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_5/instance_5.lp,19,168,2.013069,0.1675596986821161,0,0,0,0,timelimit,0,0,2.0130808390676975,2.0126922270000023
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,52,0.86015,0.0,0,0,0,0,optimal,0,0,0.8601643163710833,0.8599892069999981
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,58,0.875481,0.0,0,0,0,0,optimal,0,0,0.875493261963129,0.8752648460000003
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,57,0.848247,0.0,0,0,0,0,optimal,0,0,0.8482605675235391,0.8480643500000014
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,21,64,0.95556,0.0,0,0,0,0,optimal,0,0,0.9555892432108521,0.9554035939999963
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_6/instance_6.lp,23,59,0.878664,0.0,0,0,0,0,optimal,0,0,0.8786789458245039,0.8784562620000003
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,30,252,2.000079,0.2041163110981055,0,0,0,0,timelimit,0,0,2.0000941632315516,1.999628235000003
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,29,288,2.019242,0.19679138417079792,0,0,0,0,timelimit,0,0,2.019254608079791,2.0187970899999996
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,31,197,2.013234,0.18637677935433244,0,0,0,0,timelimit,0,0,2.0132475905120373,2.01282707
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,29,181,2.024773,0.2041163110981055,0,0,0,0,timelimit,0,0,2.024786232970655,2.023964884999998
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_7/instance_7.lp,31,213,2.000271,0.19006520816230552,0,0,0,0,timelimit,0,0,2.000284982845187,1.9999423130000054
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,42,225,2.010439,0.11835936660503298,0,0,0,0,timelimit,0,0,2.010452455841005,2.010113507
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,38,200,2.012135,0.11634457574149178,0,0,0,0,timelimit,0,0,2.0121624264866114,2.0117824470000016
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,46,294,2.015587,0.11745230571573141,0,0,0,0,timelimit,0,0,2.0156025271862745,2.0151958720000067
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,33,194,2.020185,0.11149329655945595,0,0,0,0,timelimit,0,0,2.0201999582350254,2.0194517979999915
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_8/instance_8.lp,38,291,2.002443,0.11634457574149178,0,0,0,0,timelimit,0,0,2.00245557166636,2.002085801000007
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,63,193,1.5396,0.0,0.08015447592633367,0,0,0,optimal,0,0,1.539614791981876,1.5393259100000023
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,69,260,1.628061,0.0,0.08745064854956551,0,0,0,optimal,0,0,1.6280752401798964,1.6277009079999942
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,71,163,1.62872,0.0,0.09040037525595097,0,0,0,optimal,0,0,1.6287348242476583,1.6283472439999969
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,67,218,1.550403,0.0,0.08745064854956551,0,0,0,optimal,0,0,1.5504160299897194,1.5500877970000033
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_9/instance_9.lp,63,203,1.545683,0.0,0.08413646398230343,0,0,0,optimal,0,0,1.5456973100081086,1.5452764150000036
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,46,211,2.009808,0.11385193369471983,0,0,0,0,timelimit,0,0,2.009820236824453,2.0090136880000102
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,41,233,2.000079,0.11232033794546929,0,0,0,0,timelimit,0,0,2.000112838111818,1.9997623929999975
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,47,173,2.002785,0.11232033794546929,0,0,0,0,timelimit,0,0,2.002799120731652,2.002395984000003
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,43,213,2.002159,0.11232033794546929,0,0,0,0,timelimit,0,0,2.002171566709876,2.0018230809999977
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_10/instance_10.lp,53,201,2.001008,0.11232033794546929,0.11232033794546929,0,0,0,timelimit,0,0,2.0010224897414446,2.0005087080000123
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,27,299,2.013156,0.12029142959193606,0,0,0,0,timelimit,0,0,2.0131697561591864,2.012709950999991
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,34,108,2.015114,0.11390044460175673,0,0,0,0,timelimit,0,0,2.015125783160329,2.014159709999987
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,30,225,2.000065,0.11390044460175673,0,0,0,0,timelimit,0,0,2.000078880228102,1.99966237000001
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,25,63,1.482276,0.0,0,0,0,0,optimal,0,0,1.4822912449017167,1.4820453439999994
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_11/instance_11.lp,25,63,1.365982,0.0,0,0,0,0,optimal,0,0,1.3659971430897713,1.3655827420000008
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,66,284,2.011634,0.103630462225018,0.11798356796053398,0,0,0,timelimit,0,0,2.0116470297798514,2.011004982000003
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,69,206,2.012083,0.103630462225018,0.1179835679605342,0,0,0,timelimit,0,0,2.0120962131768465,2.011554216999997
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,63,276,2.01197,0.10689184025621776,0.11891754453916452,0,0,0,timelimit,0,0,2.0119827622547746,2.011413012999995
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,37,218,2.00194,0.11472476422312784,0,0,0,0,timelimit,0,0,2.0019668703898787,2.0015229149999954
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_12/instance_12.lp,45,307,2.003826,0.10322959607719055,0,0,0,0,timelimit,0,0,2.0038396939635277,2.0033620560000003
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,31,164,2.028361,0.13154228849192814,0,0,0,0,timelimit,0,0,2.028375279158354,2.0276888580000048
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,30,196,2.003568,0.1386551452511778,0,0,0,0,timelimit,0,0,2.003581864759326,2.002941973999995
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,31,195,2.009985,0.13401810791648305,0,0,0,0,timelimit,0,0,2.009997677989304,2.0095144309999995
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,30,252,2.000867,0.13865514525117828,0,0,0,0,timelimit,0,0,2.0008795615285635,1.9991860030000055
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_13/instance_13.lp,30,180,2.000038,0.13704328439526464,0,0,0,0,timelimit,0,0,2.0000532818958163,1.9996033339999997
