policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,75_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,102,335,3.2691,0.0,0.12733373703486486,0.10312880267388967,0.09249504839144088,0,optimal,0,0,3.269135936163366,3.2350311739999995
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,53,337,2.560559,0.0,0,0,0,0,optimal,0,0,2.560582537204027,2.5596191360000002
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,65,240,2.365537,0.0,0.12041800999462748,0,0,0,optimal,0,0,2.365551349706948,2.3652048190000006
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,134,449,3.210592,0.0,0.1253422397516492,0.11238714726397804,0.10649508023428245,0,optimal,0,0,3.210617528297007,3.209715816000001
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_1/instance_1.lp,217,637,4.440101,0.0,0.11818921199808863,0.10203814811518529,0.1018587274752487,0.08461173267119623,optimal,0,0,4.440133179537952,4.439226476000002
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,11,32,0.686418,0.0,0,0,0,0,optimal,0,0,0.6864333590492606,0.686261861000002
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,63,297,2.04782,0.0,0.10432951169636703,0,0,0,optimal,0,0,2.0478331269696355,2.047211259000001
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,15,41,0.6940109999999999,0.0,0,0,0,0,optimal,0,0,0.6940326048061252,0.6939919850000003
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,20,118,1.118559,0.0,0,0,0,0,optimal,0,0,1.1185768889263272,1.1182096990000012
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_2/instance_2.lp,66,336,2.256538,0.0,0.1159166938954159,0,0,0,optimal,0,0,2.2565501676872373,2.2547346779999984
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,153,530,4.9809339999999995,0.0,0.13023725736316613,0.1269667365691438,0.11794538616245127,0,optimal,0,0,4.980959934182465,4.979771778
ml-competitor:svmrank_khalil,6,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,215,505,4.866321,0.0,0.13625918078598315,0.1282181450022359,0.1282181450022359,0.11286267615171153,optimal,0,0,4.866336259990931,4.865262970000003
ml-competitor:svmrank_khalil,8,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,255,635,5.818426,0.0,0.13625918078598315,0.12567502083162202,0.12448555924279787,0.1077415564619793,optimal,0,0,5.818453563377261,5.8169139699999945
ml-competitor:svmrank_khalil,10,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,124,431,4.196871,0.0,0.13056098220329618,0.12111592960872246,0.11490657246419755,0,optimal,0,0,4.196887002326548,4.195586665
ml-competitor:svmrank_khalil,12,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_3/instance_3.lp,185,520,5.3155,0.0,0.1261190514348225,0.11611706839056139,0.11344775176859177,0,optimal,0,0,5.315513752400875,5.313993457000002
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_100r_200c_0.05d_1mc_0se/instance_4/instance_4.lp,66,232,2.196378,0.0,0.10912021209160509,0,0,0,optimal,0,0,2.1964027546346188,2.1954896539999993
